"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Materials/ThingMaterials/M_Thing.M_Thing","0","23","1","1","146.022675","0","136"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","2","1","134.286011","0","111"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","63","7","1","341.862885","0","491"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","23","4","1","136.122360","0","236"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","23","1","1","134.873184","0","82"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","23","4","1","134.660202","0","205"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","23","1","1","153.543732","0","165"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","1","1","150.720947","0","123"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","23","4","1","153.335175","0","113"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","5","1","140.313400","0","95"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","7","1","155.676208","0","88"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","5","1","134.535614","0","172"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","9","1","1","16.085712","0","31"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","4","1","131.937759","0","158"
"/Game/Materials/M_Metal.M_Metal","0","14","1","1","84.621483","0","72"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","23","8","1","148.088470","0","180"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","23","1","1","142.173325","0","142"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","7","1","131.092972","0","74"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","23","2","1","147.955948","0","72"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","63","2","1","354.610168","0","798"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","5","1","129.807693","0","217"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","1","1","127.751419","0","187"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","54","6","1","224.805984","0","657"
"/Game/Materials/Pickupables/M_Connector.M_Connector","0","14","4","1","82.668617","0","74"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","21","1","1","35.089825","0","123"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","1","1","136.730515","0","150"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","33","1","1","246.011536","0","197"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","3","1","126.156807","0","144"
"/Game/Materials/Pickupables/M_Ghost.M_Ghost","0","24","6","1","134.887238","0","44"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","6","1","150.852402","0","129"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","5","1","8.514853","0","5"
"/Game/Models/BlenderModelsReece/M_Plastic.M_Plastic","0","14","3","1","69.504303","0","47"
"/Game/Materials/M_Green.M_Green","0","23","2","1","115.116310","0","113"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","15.278917","0","15"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","13.756431","0","15"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","9.008908","0","10"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","0","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","656","9","1","2366.508545","0","25764"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","76","8","1","288.361725","0","1127"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","127","5","1","790.276062","0","1851"
"Globals","49","6357","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","2","1","3.435549","0","11"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","7","1","1","15.733092","0","38"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","1","1","45.400513","0","172"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","7","1","1","23.511892","0","32"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","4","1","2.181103","0","6"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","29","3","1","30.932360","0","492"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","3","1","1","2.002315","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","3","1","1","1.981257","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","5","1","1","3.560582","0","19"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","82","2","1","144.184769","0","3358"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","8","1","1","5.714568","0","40"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","14","2","1","12.811137","0","145"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","3","1","1","0.000000","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","3","1","52.213646","0","371"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","5","1","41.349110","0","41"
"/Engine/VREditor/TransformGizmo/Main.Main","49","3","1","1","2.023697","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","44","4","1","21.727140","0","998"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","3","3","1","2.503863","0","3"
